"Aggregated Date/Time","Variable","Depth","Site Name","Latitude","Longitude","mean","median","p5","p95","lowest","highest"
2018-02-01T00:00,"DIN","-1.5","point 1","-19.13292","148.31082",0.0735596055793921,0.0735596055793921,0.0735596055793921,0.0735596055793921,0.0735596055793921,0.0735596055793921
2018-02-01T00:00,"DIN","-1.5","point 2","-19.19263","148.36371",0.05347352003993662,0.05347352003993662,0.05347352003993662,0.05347352003993662,0.05347352003993662,0.05347352003993662
2018-02-01T00:00,"DIN","-1.5","point 3","-19.19003","148.30463",0.06696239473165917,0.06696239473165917,0.06696239473165917,0.06696239473165917,0.06696239473165917,0.06696239473165917
2018-02-01T00:00,"DIN","-1.5","point 4","-19.21599","148.21945",0.07250330660267718,0.07250330660267718,0.07250330660267718,0.07250330660267718,0.07250330660267718,0.07250330660267718
2018-02-01T00:00,"DIN","-1.5","point 5","-19.17705","148.12328",0.07734003844192446,0.07734003844192446,0.07734003844192446,0.07734003844192446,0.07734003844192446,0.07734003844192446
2018-02-01T00:00,"Dust","-1.5","point 1","-19.13292","148.31082",1.6480999291098356E-6,1.6480999291098356E-6,1.6480999291098356E-6,1.6480999291098356E-6,1.6480999291098356E-6,1.6480999291098356E-6
2018-02-01T00:00,"Dust","-1.5","point 2","-19.19263","148.36371",1.643288676514902E-6,1.643288676514902E-6,1.643288676514902E-6,1.643288676514902E-6,1.643288676514902E-6,1.643288676514902E-6
2018-02-01T00:00,"Dust","-1.5","point 3","-19.19003","148.30463",1.8120201054839347E-6,1.8120201054839347E-6,1.8120201054839347E-6,1.8120201054839347E-6,1.8120201054839347E-6,1.8120201054839347E-6
2018-02-01T00:00,"Dust","-1.5","point 4","-19.21599","148.21945",2.110333959451566E-6,2.110333959451566E-6,2.110333959451566E-6,2.110333959451566E-6,2.110333959451566E-6,2.110333959451566E-6
2018-02-01T00:00,"Dust","-1.5","point 5","-19.17705","148.12328",2.3217530646105976E-6,2.3217530646105976E-6,2.3217530646105976E-6,2.3217530646105976E-6,2.3217530646105976E-6,2.3217530646105976E-6
2018-02-01T00:00,"EpiPAR_sg","99999.9","point 1","-19.13292","148.31082",19.518293873329384,19.518293873329384,19.518293873329384,19.518293873329384,19.518293873329384,19.518293873329384
2018-02-01T00:00,"EpiPAR_sg","99999.9","point 2","-19.19263","148.36371",21.857960548464362,21.857960548464362,21.857960548464362,21.857960548464362,21.857960548464362,21.857960548464362
2018-02-01T00:00,"EpiPAR_sg","99999.9","point 3","-19.19003","148.30463",25.471587081244873,25.471587081244873,25.471587081244873,25.471587081244873,25.471587081244873,25.471587081244873
2018-02-01T00:00,"EpiPAR_sg","99999.9","point 4","-19.21599","148.21945",21.3411170263595,21.3411170263595,21.3411170263595,21.3411170263595,21.3411170263595,21.3411170263595
2018-02-01T00:00,"EpiPAR_sg","99999.9","point 5","-19.17705","148.12328",15.03318768401954,15.03318768401954,15.03318768401954,15.03318768401954,15.03318768401954,15.03318768401954
2018-02-01T00:00,"Mud-carbonate","-1.5","point 1","-19.13292","148.31082",1.134744085360997E-4,1.134744085360997E-4,1.134744085360997E-4,1.134744085360997E-4,1.134744085360997E-4,1.134744085360997E-4
2018-02-01T00:00,"Mud-carbonate","-1.5","point 2","-19.19263","148.36371",2.175418239220598E-4,2.175418239220598E-4,2.175418239220598E-4,2.175418239220598E-4,2.175418239220598E-4,2.175418239220598E-4
2018-02-01T00:00,"Mud-carbonate","-1.5","point 3","-19.19003","148.30463",1.758129467088021E-4,1.758129467088021E-4,1.758129467088021E-4,1.758129467088021E-4,1.758129467088021E-4,1.758129467088021E-4
2018-02-01T00:00,"Mud-carbonate","-1.5","point 4","-19.21599","148.21945",1.6327133411243717E-4,1.6327133411243717E-4,1.6327133411243717E-4,1.6327133411243717E-4,1.6327133411243717E-4,1.6327133411243717E-4
2018-02-01T00:00,"Mud-carbonate","-1.5","point 5","-19.17705","148.12328",6.372125133129823E-5,6.372125133129823E-5,6.372125133129823E-5,6.372125133129823E-5,6.372125133129823E-5,6.372125133129823E-5
2018-02-01T00:00,"Mud-mineral","-1.5","point 1","-19.13292","148.31082",1.4430246861847359E-5,1.4430246861847359E-5,1.4430246861847359E-5,1.4430246861847359E-5,1.4430246861847359E-5,1.4430246861847359E-5
2018-02-01T00:00,"Mud-mineral","-1.5","point 2","-19.19263","148.36371",2.9370979952957507E-5,2.9370979952957507E-5,2.9370979952957507E-5,2.9370979952957507E-5,2.9370979952957507E-5,2.9370979952957507E-5
2018-02-01T00:00,"Mud-mineral","-1.5","point 3","-19.19003","148.30463",2.3580619545452736E-5,2.3580619545452736E-5,2.3580619545452736E-5,2.3580619545452736E-5,2.3580619545452736E-5,2.3580619545452736E-5
2018-02-01T00:00,"Mud-mineral","-1.5","point 4","-19.21599","148.21945",2.3104911216923108E-5,2.3104911216923108E-5,2.3104911216923108E-5,2.3104911216923108E-5,2.3104911216923108E-5,2.3104911216923108E-5
2018-02-01T00:00,"Mud-mineral","-1.5","point 5","-19.17705","148.12328",9.070885438912838E-6,9.070885438912838E-6,9.070885438912838E-6,9.070885438912838E-6,9.070885438912838E-6,9.070885438912838E-6
2018-02-01T00:00,"PIP","-1.5","point 1","-19.13292","148.31082",1.940744059829301E-4,1.940744059829301E-4,1.940744059829301E-4,1.940744059829301E-4,1.940744059829301E-4,1.940744059829301E-4
2018-02-01T00:00,"PIP","-1.5","point 2","-19.19263","148.36371",4.851652905775848E-4,4.851652905775848E-4,4.851652905775848E-4,4.851652905775848E-4,4.851652905775848E-4,4.851652905775848E-4
2018-02-01T00:00,"PIP","-1.5","point 3","-19.19003","148.30463",3.89002673688897E-4,3.89002673688897E-4,3.89002673688897E-4,3.89002673688897E-4,3.89002673688897E-4,3.89002673688897E-4
2018-02-01T00:00,"PIP","-1.5","point 4","-19.21599","148.21945",3.744387976677666E-4,3.744387976677666E-4,3.744387976677666E-4,3.744387976677666E-4,3.744387976677666E-4,3.744387976677666E-4
2018-02-01T00:00,"PIP","-1.5","point 5","-19.17705","148.12328",1.2484842748684342E-4,1.2484842748684342E-4,1.2484842748684342E-4,1.2484842748684342E-4,1.2484842748684342E-4,1.2484842748684342E-4
2018-02-01T00:00,"TOTAL_NITROGEN","-1.5","point 1","-19.13292","148.31082",54.01489658004712,54.01489658004712,54.01489658004712,54.01489658004712,54.01489658004712,54.01489658004712
2018-02-01T00:00,"TOTAL_NITROGEN","-1.5","point 2","-19.19263","148.36371",54.68586306361747,54.68586306361747,54.68586306361747,54.68586306361747,54.68586306361747,54.68586306361747
2018-02-01T00:00,"TOTAL_NITROGEN","-1.5","point 3","-19.19003","148.30463",54.442928141065124,54.442928141065124,54.442928141065124,54.442928141065124,54.442928141065124,54.442928141065124
2018-02-01T00:00,"TOTAL_NITROGEN","-1.5","point 4","-19.21599","148.21945",54.87125888010701,54.87125888010701,54.87125888010701,54.87125888010701,54.87125888010701,54.87125888010701
2018-02-01T00:00,"TOTAL_NITROGEN","-1.5","point 5","-19.17705","148.12328",54.76102932678595,54.76102932678595,54.76102932678595,54.76102932678595,54.76102932678595,54.76102932678595
2018-02-01T00:00,"Chl_a_sum","-1.5","point 1","-19.13292","148.31082",0.3268349787252594,0.3268349787252594,0.3268349787252594,0.3268349787252594,0.3268349787252594,0.3268349787252594
2018-02-01T00:00,"Chl_a_sum","-1.5","point 2","-19.19263","148.36371",0.2725802834750842,0.2725802834750842,0.2725802834750842,0.2725802834750842,0.2725802834750842,0.2725802834750842
2018-02-01T00:00,"Chl_a_sum","-1.5","point 3","-19.19003","148.30463",0.26890402501647154,0.26890402501647154,0.26890402501647154,0.26890402501647154,0.26890402501647154,0.26890402501647154
2018-02-01T00:00,"Chl_a_sum","-1.5","point 4","-19.21599","148.21945",0.25459238155735986,0.25459238155735986,0.25459238155735986,0.25459238155735986,0.25459238155735986,0.25459238155735986
2018-02-01T00:00,"Chl_a_sum","-1.5","point 5","-19.17705","148.12328",0.28580554067132097,0.28580554067132097,0.28580554067132097,0.28580554067132097,0.28580554067132097,0.28580554067132097
2018-02-02T00:00,"DIN","-1.5","point 1","-19.13292","148.31082",0.08049684733424789,0.08049684733424789,0.08049684733424789,0.08049684733424789,0.08049684733424789,0.08049684733424789
2018-02-02T00:00,"DIN","-1.5","point 2","-19.19263","148.36371",0.05474638579223339,0.05474638579223339,0.05474638579223339,0.05474638579223339,0.05474638579223339,0.05474638579223339
2018-02-02T00:00,"DIN","-1.5","point 3","-19.19003","148.30463",0.06754401642000256,0.06754401642000256,0.06754401642000256,0.06754401642000256,0.06754401642000256,0.06754401642000256
2018-02-02T00:00,"DIN","-1.5","point 4","-19.21599","148.21945",0.0774744972145157,0.0774744972145157,0.0774744972145157,0.0774744972145157,0.0774744972145157,0.0774744972145157
2018-02-02T00:00,"DIN","-1.5","point 5","-19.17705","148.12328",0.07925051704323469,0.07925051704323469,0.07925051704323469,0.07925051704323469,0.07925051704323469,0.07925051704323469
2018-02-02T00:00,"Dust","-1.5","point 1","-19.13292","148.31082",1.6791769413647877E-6,1.6791769413647877E-6,1.6791769413647877E-6,1.6791769413647877E-6,1.6791769413647877E-6,1.6791769413647877E-6
2018-02-02T00:00,"Dust","-1.5","point 2","-19.19263","148.36371",1.6888104335205874E-6,1.6888104335205874E-6,1.6888104335205874E-6,1.6888104335205874E-6,1.6888104335205874E-6,1.6888104335205874E-6
2018-02-02T00:00,"Dust","-1.5","point 3","-19.19003","148.30463",1.85994553264913E-6,1.85994553264913E-6,1.85994553264913E-6,1.85994553264913E-6,1.85994553264913E-6,1.85994553264913E-6
2018-02-02T00:00,"Dust","-1.5","point 4","-19.21599","148.21945",2.1678790611489035E-6,2.1678790611489035E-6,2.1678790611489035E-6,2.1678790611489035E-6,2.1678790611489035E-6,2.1678790611489035E-6
2018-02-02T00:00,"Dust","-1.5","point 5","-19.17705","148.12328",2.3856389653957718E-6,2.3856389653957718E-6,2.3856389653957718E-6,2.3856389653957718E-6,2.3856389653957718E-6,2.3856389653957718E-6
2018-02-02T00:00,"EpiPAR_sg","99999.9","point 1","-19.13292","148.31082",19.567098564673856,19.567098564673856,19.567098564673856,19.567098564673856,19.567098564673856,19.567098564673856
2018-02-02T00:00,"EpiPAR_sg","99999.9","point 2","-19.19263","148.36371",24.353465947758725,24.353465947758725,24.353465947758725,24.353465947758725,24.353465947758725,24.353465947758725
2018-02-02T00:00,"EpiPAR_sg","99999.9","point 3","-19.19003","148.30463",26.42009299713198,26.42009299713198,26.42009299713198,26.42009299713198,26.42009299713198,26.42009299713198
2018-02-02T00:00,"EpiPAR_sg","99999.9","point 4","-19.21599","148.21945",21.77599678942047,21.77599678942047,21.77599678942047,21.77599678942047,21.77599678942047,21.77599678942047
2018-02-02T00:00,"EpiPAR_sg","99999.9","point 5","-19.17705","148.12328",15.304755792031475,15.304755792031475,15.304755792031475,15.304755792031475,15.304755792031475,15.304755792031475
2018-02-02T00:00,"Mud-carbonate","-1.5","point 1","-19.13292","148.31082",1.1928628987668506E-4,1.1928628987668506E-4,1.1928628987668506E-4,1.1928628987668506E-4,1.1928628987668506E-4,1.1928628987668506E-4
2018-02-02T00:00,"Mud-carbonate","-1.5","point 2","-19.19263","148.36371",1.4497449026665412E-4,1.4497449026665412E-4,1.4497449026665412E-4,1.4497449026665412E-4,1.4497449026665412E-4,1.4497449026665412E-4
2018-02-02T00:00,"Mud-carbonate","-1.5","point 3","-19.19003","148.30463",1.5239812791678113E-4,1.5239812791678113E-4,1.5239812791678113E-4,1.5239812791678113E-4,1.5239812791678113E-4,1.5239812791678113E-4
2018-02-02T00:00,"Mud-carbonate","-1.5","point 4","-19.21599","148.21945",1.530962247439977E-4,1.530962247439977E-4,1.530962247439977E-4,1.530962247439977E-4,1.530962247439977E-4,1.530962247439977E-4
2018-02-02T00:00,"Mud-carbonate","-1.5","point 5","-19.17705","148.12328",6.701499429272661E-5,6.701499429272661E-5,6.701499429272661E-5,6.701499429272661E-5,6.701499429272661E-5,6.701499429272661E-5
2018-02-02T00:00,"Mud-mineral","-1.5","point 1","-19.13292","148.31082",1.5392888875987508E-5,1.5392888875987508E-5,1.5392888875987508E-5,1.5392888875987508E-5,1.5392888875987508E-5,1.5392888875987508E-5
