"Aggregated Date/Time","Variable","Depth","Site Name","Latitude","Longitude","mean","median","p5","p95","lowest","highest"
2018-02-01T00:00,"DIN","-1.5","point 1","-19.13292","148.31082",0.07314354257831358,0.07314354257831358,0.07314354257831358,0.07314354257831358,0.07314354257831358,0.07314354257831358
2018-02-01T00:00,"DIN","-1.5","point 2","-19.19263","148.36371",0.053499687911272256,0.053499687911272256,0.053499687911272256,0.053499687911272256,0.053499687911272256,0.053499687911272256
2018-02-01T00:00,"DIN","-1.5","point 3","-19.19003","148.30463",0.06666967488297668,0.06666967488297668,0.06666967488297668,0.06666967488297668,0.06666967488297668,0.06666967488297668
2018-02-01T00:00,"DIN","-1.5","point 4","-19.21599","148.21945",0.07237139288948287,0.07237139288948287,0.07237139288948287,0.07237139288948287,0.07237139288948287,0.07237139288948287
2018-02-01T00:00,"DIN","-1.5","point 5","-19.17705","148.12328",0.07761363173732219,0.07761363173732219,0.07761363173732219,0.07761363173732219,0.07761363173732219,0.07761363173732219
2018-02-01T00:00,"EpiPAR_sg","99999.9","point 1","-19.13292","148.31082",19.502280316029257,19.502280316029257,19.502280316029257,19.502280316029257,19.502280316029257,19.502280316029257
2018-02-01T00:00,"EpiPAR_sg","99999.9","point 2","-19.19263","148.36371",21.83301810099516,21.83301810099516,21.83301810099516,21.83301810099516,21.83301810099516,21.83301810099516
2018-02-01T00:00,"EpiPAR_sg","99999.9","point 3","-19.19003","148.30463",25.443135068820105,25.443135068820105,25.443135068820105,25.443135068820105,25.443135068820105,25.443135068820105
2018-02-01T00:00,"EpiPAR_sg","99999.9","point 4","-19.21599","148.21945",21.292654378984484,21.292654378984484,21.292654378984484,21.292654378984484,21.292654378984484,21.292654378984484
2018-02-01T00:00,"EpiPAR_sg","99999.9","point 5","-19.17705","148.12328",14.975032628323875,14.975032628323875,14.975032628323875,14.975032628323875,14.975032628323875,14.975032628323875
2018-02-01T00:00,"Mud-carbonate","-1.5","point 1","-19.13292","148.31082",1.1348287188584787E-4,1.1348287188584787E-4,1.1348287188584787E-4,1.1348287188584787E-4,1.1348287188584787E-4,1.1348287188584787E-4
2018-02-01T00:00,"Mud-carbonate","-1.5","point 2","-19.19263","148.36371",2.17569008332985E-4,2.17569008332985E-4,2.17569008332985E-4,2.17569008332985E-4,2.17569008332985E-4,2.17569008332985E-4
2018-02-01T00:00,"Mud-carbonate","-1.5","point 3","-19.19003","148.30463",1.7582646490327884E-4,1.7582646490327884E-4,1.7582646490327884E-4,1.7582646490327884E-4,1.7582646490327884E-4,1.7582646490327884E-4
2018-02-01T00:00,"Mud-carbonate","-1.5","point 4","-19.21599","148.21945",1.632789344485793E-4,1.632789344485793E-4,1.632789344485793E-4,1.632789344485793E-4,1.632789344485793E-4,1.632789344485793E-4
2018-02-01T00:00,"Mud-carbonate","-1.5","point 5","-19.17705","148.12328",6.372084317553058E-5,6.372084317553058E-5,6.372084317553058E-5,6.372084317553058E-5,6.372084317553058E-5,6.372084317553058E-5
2018-02-01T00:00,"Mud-mineral","-1.5","point 1","-19.13292","148.31082",1.4431441399803015E-5,1.4431441399803015E-5,1.4431441399803015E-5,1.4431441399803015E-5,1.4431441399803015E-5,1.4431441399803015E-5
2018-02-01T00:00,"Mud-mineral","-1.5","point 2","-19.19263","148.36371",2.9375224370479423E-5,2.9375224370479423E-5,2.9375224370479423E-5,2.9375224370479423E-5,2.9375224370479423E-5,2.9375224370479423E-5
2018-02-01T00:00,"Mud-mineral","-1.5","point 3","-19.19003","148.30463",2.3582827728335897E-5,2.3582827728335897E-5,2.3582827728335897E-5,2.3582827728335897E-5,2.3582827728335897E-5,2.3582827728335897E-5
2018-02-01T00:00,"Mud-mineral","-1.5","point 4","-19.21599","148.21945",2.3106228898642227E-5,2.3106228898642227E-5,2.3106228898642227E-5,2.3106228898642227E-5,2.3106228898642227E-5,2.3106228898642227E-5
2018-02-01T00:00,"Mud-mineral","-1.5","point 5","-19.17705","148.12328",9.070817832299972E-6,9.070817832299972E-6,9.070817832299972E-6,9.070817832299972E-6,9.070817832299972E-6,9.070817832299972E-6
2018-02-01T00:00,"Chl_a_sum","-1.5","point 1","-19.13292","148.31082",0.32662584784211657,0.32662584784211657,0.32662584784211657,0.32662584784211657,0.32662584784211657,0.32662584784211657
2018-02-01T00:00,"Chl_a_sum","-1.5","point 2","-19.19263","148.36371",0.2728905137642588,0.2728905137642588,0.2728905137642588,0.2728905137642588,0.2728905137642588,0.2728905137642588
